plot,site,elevation,betula nana,bjornbrodd,blueberry,calamagrostis,cloudberry,crowberry,dvargvide,equisetum pratense,equisetum scirpoides,farsvingel,fibbla,fjall lummer,fjallgrona,fjallsippa,fjallspira,fjallvedel,honsbar,kantljung,klynnetag,krustatel,krypljung,lappljung,lapskalpros,lichen,lingon,linnea blomma,lummer,moss and liverwort,mossljung,odon,ormrot,poop,ripbar,riplummer,rock,rosling,salix,spira,svartho,tatort,tuvnarv,unknown,vanlig styvstarr
K_H_1_C,K,H,1,,,,,1,,,,,1,,,,,,,,,,,,,31,1,,,31,,,,,,,,,,,,,,,1
K_H_1_S,K,H,5,,,,,30,1,,,,,1,,,,,,,1,,,,,1,15,,1,1,,1,,,,,,,,,,,,,1
K_H_1_T,K,H,60,,,,,1,,,,,,,,,,,,,,,,,,1,,,,31,,,,,,,,,,,,,,,1
K_H_2_C,K,H,1,,1,,,1,,,,,,,,,,,,,,,,,,41,1,,,16,,,,,,,,,,,,,,,1
K_H_2_S,K,H,1,,,,,50,,,,,,,,,,,,,,,,,,1,25,,,1,,1,,,1,,,,,,,,,,1
K_H_2_T,K,H,70,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,81,,,,,,,,,1,,,,,,1
K_H_3_C,K,H,1,,,,,1,,,,,,,,,,,,,,,,,,61,1,,,1,,1,,,,,,,,,,,,,1
K_H_3_S,K,H,1,,,,,50,,,,,,,,,,,,,,,,,,1,15,,,11,,10,,,,,,,,,,,,,1
K_H_3_T,K,H,80,,1,,,25,,,,,,,,,,,,,,,,,,1,1,,,51,,,,,,,,,,,,,,,1
K_L_1_C,K,L,1,,,,,1,,,,,,,,,,,,,,,,,,71,1,,,21,,1,,,,,,,,,,,,,
K_L_1_S,K,L,1,,,,,60,,,,,,,,,,,,,,,,,,11,1,,,51,,1,,,,,,,,,,,,,1
K_L_1_T,K,L,80,,,,,1,,,,,,,,,,,,,,,,,,6,1,,,91,,,,,1,,,,,,,,,,
K_L_2_C,K,L,20,,,,,1,,,,,,,,,,,,,,,,,,36,1,,,61,,1,,,,,,,,,,,,,1
K_L_2_S,K,L,1,,25,,,25,,,,,,,,,,,,,,,,,,16,1,,,51,,10,,,,,,,,,,,,,1
K_L_2_T,K,L,70,,,,,1,,,,,,,,,,,,,,,,,,1,30,,,81,,,,,,,,,,,,,,,
K_L_3_C,K,L,,,,,,10,,,,,,,,,,,,,,,,,,81,1,,,16,,1,,,,,,,,,,,,,1
K_L_3_S,K,L,,,30,,,50,1,,,,,,,,,,,,,1,,,,16,1,,,81,,20,,,,,,,,,,,,,1
K_L_3_T,K,L,60,,,,,50,,,,,,,,,,,,,,,,,,1,15,,,31,,,,,,,,,,,,,,,1
K_LM_1_C,K,LM,1,,1,,,1,1,,,,,,,,,,,,,1,,10,,41,,,,41,1,,,,,,,,,,,,,,
K_LM_1_S,K,LM,,,5,,,50,15,,,,,,,,,,,,1,5,,1,,1,,,,71,,,,,,1,,,,,,,,,
K_LM_1_T,K,LM,75,,1,,,5,1,,,,,,,,,,,,,1,,1,,1,1,,,91,,,,,,,,,,,,,,,
K_LM_2_C,K,LM,,,1,,,1,10,,,,,,,,,,,,,1,1,1,,1,,,,91,10,,,,,,,,,1,,,,,
K_LM_2_S,K,LM,5,,60,,,50,,,,,,,,,,,,,,1,,50,,1,1,,,91,,,,,,,,,,,,,,,1
K_LM_2_T,K,LM,80,,1,,,1,1,,,,,,,,,,,,1,1,1,1,,1,,,,76,1,,,,,,,,,,,,,,
K_LM_3_C,K,LM,1,,1,,,,5,,,,,,,,,,,,1,1,,,,61,1,,,41,,,,,,,,,,,,,,,10
K_LM_3_S,K,LM,1,,,,,70,1,,,,,,,,,,,,,,,,,11,1,,,71,,20,,,,,,,,,,,,,
K_LM_3_T,K,LM,90,,1,,,35,1,,,,,,,,,,,,,30,,35,,1,,,,86,,,,,,,,,,,,,,,
K_M_1_C,K,M,1,,,,,1,,,,,,,,,,,,,,,,,,36,1,,,41,,1,,,,,,,,,,,,,
K_M_1_S,K,M,1,,,,1,85,,,,,,,,,,,,,,,,,,16,1,,,61,,1,,,5,,,,,,,,,,
K_M_1_T,K,M,80,,,,1,15,,,,,,,,,,,,,,,,,,6,1,,,96,,1,,,1,,,,,,,,,,
K_M_2_C,K,M,5,,,,1,5,,,,,,,,,,,,,,,,,,61,5,,,41,,1,,,1,,,,,,,,,,
K_M_2_S,K,M,1,,,,1,70,,,,,,,,,,,,,,,,,,26,1,,,61,,,,,20,,,,,,,,,,
K_M_2_T,K,M,60,,,,20,60,,,,,,,,,,,,,,,,,,11,40,,,71,,1,,,1,,,,,,,,,,
K_M_3_C,K,M,5,,,,1,5,,,,,,,,,,,,,,,,,,81,10,,,1,,1,,,10,,,,,,,,,,
K_M_3_S,K,M,1,,,,1,95,,,,,,,,,,,,,,,,,,1,10,,,61,,10,,,1,,,,,,,,,,
K_M_3_T,K,M,85,,,,1,1,,,,,,,,,,,,,,,,,,16,30,,,96,,,,,,,,,,,,,,,
K_MH_1_C,K,MH,10,,,,,10,1,,,,,,1,,,,,,,,1,,,36,1,,,41,,5,,,,,,,,,,,,,
K_MH_1_S,K,MH,15,,,,1,90,1,,,,,,,,,,,,,,,,,21,1,,,76,,10,,,,,,,,,,,,,
K_MH_1_T,K,MH,75,,,,1,60,,,,,,,,,,,10,,,,,,,1,10,,,91,,1,,,,,,,,,,,,,
K_MH_2_C,K,MH,5,,,,,10,1,,,,,,,,,,,,,,1,,,61,5,,,61,,10,,,5,,,,,,,,,,
K_MH_2_S,K,MH,15,,,,5,90,,,,,,,,,,,,,,,,,,1,5,,,81,,10,,,,,,,,,,,,,
K_MH_2_T,K,MH,85,,,1,1,70,,,,,,,,,,,,,,,,,,6,20,,,61,,5,,,,,,,,,,,,,
K_MH_3_C,K,MH,1,,,,,10,,,,,,,,,,,,,,,,,,61,1,,,61,,1,,,1,,,,,,,,,,1
K_MH_3_S,K,MH,5,,,,1,85,,,,,,,,,,,,,,,,,,11,1,,,51,,10,,,,,,,,,,,,,
K_MH_3_T,K,MH,70,,,,,,,,,,,,,,,,,,,,,,,6,80,,,61,,,,,,,,,,,,,,,5
N_H_1_C,N,H,1,,,15,,20,,,,,,,,,,,,,,,,,,41,1,,,51,,15,,,,,,,,,,,,,
N_H_1_S,N,H,15,,,1,,80,,,,,,,,,,,,,,,,,,21,1,,,31,,15,,,,,,,,,,,,,
N_H_1_T,N,H,50,,,5,1,70,,,,,,,,,,,,,,,,,,11,1,,,16,,15,,,,,,,10,,,,,,
N_H_2_C,N,H,5,,,10,,20,,,,,,,,,,,,,,,,,,51,1,,,61,,10,,,,,,,,,,,,,
N_H_2_S,N,H,10,,,5,,85,,,,,,,,,,,,,,,,,,16,1,,,36,,10,,,,,,,,,,,,,
N_H_2_T,N,H,80,,,10,,10,,,,,,,,,,,,,,,,,,6,5,,,71,,1,,,,,,,10,,,,,,
N_H_3_C,N,H,20,,,1,,25,,,,,,,,,,,,,,,,,,61,1,,,41,,20,,,,,,,,,,,,,
N_H_3_S,N,H,20,,,10,1,75,,,,,,,,,,,,,,,,,,11,5,,,16,,5,,,,,,,,,,,,,
N_H_3_T,N,H,70,,,10,,70,,,,,,,,,,,,,,1,,,,1,1,1,,11,,10,,,,,,,30,,,,,,
N_L_1_C,N,L,1,,,10,,15,,,,,,,,,,,,,,,,,,61,5,,,11,,,,,,,,,,,,,,,
N_L_1_S,N,L,5,,,5,1,50,,5,,,,,,,,,,,,,,,,6,15,,,11,,50,,,,,,1,,,,,,,
N_L_1_T,N,L,70,,,1,,60,,5,,,,,,,,,,,,,,,,1,15,,,11,,15,,,,,,,,,,,,,
N_L_2_C,N,L,10,,5,1,,25,,1,,,,,,,,,,,,,5,,,41,10,,,51,,,,,,,,,,,,,,,
N_L_2_S,N,L,1,,,1,,40,,,,,,,,,,,,,,,,,,16,10,,,1,,10,,,40,,,1,,,,,,,
N_L_2_T,N,L,60,,,1,,40,,,,,,,,,,,,,,,,,,11,30,,,61,,20,,,,,,,,,,,,,
N_L_3_C,N,L,5,,,5,,20,,,,,,,,,,,,,,,,,,61,20,,,41,,1,,,,,,1,,,,,,,
N_L_3_S,N,L,5,,,5,,80,,,,,,,,,,,,,,,,,,1,5,,,1,,1,,,,,,,,,,,,,
N_L_3_T,N,L,50,,,1,,75,,,,,,,,,,,,,,,,,,11,10,,,11,,25,,,1,,,,,,,,,,
N_LM_1_C,N,LM,1,1,,,,10,,,,,,,1,,,,,,,,5,,,56,1,,,41,,1,,,,,25,1,,,,1,,,
N_LM_1_S,N,LM,5,,,5,1,75,,,,,,,,,,,,,,,,,,21,5,,,61,,10,,,1,,,,5,,,,,,
N_LM_1_T,N,LM,30,,,5,1,95,,5,,,,,,,,,,,,,,,,1,25,,,16,,10,,,,,,,35,,,,,,
N_LM_2_C,N,LM,1,1,,,,1,,,,,,,1,,,,,,,,5,,1,51,,,,36,,1,1,,1,,30,,,,,1,,,1
N_LM_2_S,N,LM,1,,,5,1,65,,5,,,,,,,,,,,,,,,,16,1,,,76,,1,,,,,,30,,,,,,,1
N_LM_2_T,N,LM,50,,,,1,50,,1,,10,,,,,,,,,,,,,,6,1,,,71,,,,,,,,,30,,,,,,
N_LM_3_C,N,LM,,,,1,1,10,,1,,,,,1,,,,,,,,1,,,76,1,,,1,,1,,,,,,1,,,,,,1,
N_LM_3_S,N,LM,20,1,,1,1,90,,5,,,,,1,,,,,,,,,,,1,1,,,6,,5,,,,,,1,5,,,,,,
N_LM_3_T,N,LM,70,,,10,,15,,5,,,,,,,,,,,,,,,,6,75,,,71,,,,,,,,,,,,,,,1
N_M_1_C,N,M,5,,,,,15,,,1,1,,,1,5,,,,,,,10,,,66,1,,,16,,1,,,,,30,,,,,1,,,1
N_M_1_S,N,M,1,,,1,,95,,,1,1,,,,,,,,,,,,,,11,1,,,71,,1,,,5,,,,,,,,,,1
N_M_1_T,N,M,70,,,,,,,,1,1,,,,,,,,,,,1,,,21,70,,,36,,15,,,1,,5,,,,,,,1,1
N_M_2_C,N,M,5,,,,,5,,,,,,,1,1,,,,,,,5,,,66,1,,,1,,1,,5,1,,20,,,,,1,,,1
N_M_2_S,N,M,5,,,1,,1,,,,15,,,,,,,,,,,1,,,21,15,,,36,,1,,,1,,,,,,,,,,1
N_M_2_T,N,M,90,,,,,10,,1,,20,,,,,,,,,,,,,,1,,,,71,,5,,,,,,,,,,,,,
N_M_3_C,N,M,5,,,,,10,,,,,,,,,,,,,1,,5,,,66,1,,,1,,5,,,1,,10,,,,,,,,1
N_M_3_S,N,M,,,,,,80,,,,,,,,,,,,,,,,,,1,1,,,41,,5,,,5,,,,,,,,,,1
N_M_3_T,N,M,70,,,,,50,,,,10,,,,,,,,,,,,,,11,45,,,31,,1,,,1,,,,,,,,,,1
N_MH_1_C,N,MH,1,,,1,,5,,,1,,,,,5,1,5,,,,,,,1,61,,,,41,,1,,,5,,,,,,,,,,1
N_MH_1_S,N,MH,10,1,,,,65,,,1,,,,1,,,,,15,,,,,,16,,,,36,,15,1,,15,,,1,,,1,,,,1
N_MH_1_T,N,MH,70,,,,,80,,,1,,,,,,,1,,1,,,,,,1,,,,21,,20,1,,1,,,,1,,,,,,1
N_MH_2_C,N,MH,1,,,1,,10,,,1,,,,,,,5,,,,,,,1,51,,,,61,,5,,,5,,5,,1,,,,,,
N_MH_2_S,N,MH,10,,,1,,75,,,1,1,,,,5,,,,,,,,,,6,,,,41,,25,,,1,,,,,,,,,,1
N_MH_2_T,N,MH,60,,,1,,60,,,1,1,,,,,,1,,,,,,,,6,,,,41,,15,,,,,,,5,,,,,,1
N_MH_3_C,N,MH,1,,,1,,5,,,1,,,,1,5,,1,,,,,,,,71,,,,31,,20,,,,,5,,1,,,,,,5
N_MH_3_S,N,MH,20,1,,1,,50,,,1,1,,,,,,1,,10,,,,,1,6,,,,71,,25,,,5,,,,,,,,,,
N_MH_3_T,N,MH,60,,,1,,60,,,1,10,,,,1,,1,,1,,,,,1,1,,,,51,,10,1,,10,,,,,1,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
